LOC123403204_1	LOC123403204
LOC123405283_1	LOC123405283
LOC123405379_1	LOC123405379
LOC123405384_1	LOC123405384
LOC123396434_1	LOC123396434
LOC123396690_1	LOC123396690
LOC123396792_1	LOC123396792
LOC123405408_1	LOC123405408
LOC123396969_1	LOC123396969
LOC123397145_1	LOC123397145
LOC123397249_1	LOC123397249
LOC123405430_1	LOC123405430
LOC123397355_1	LOC123397355
LOC123397459_1	LOC123397459
LOC123405476_1	LOC123405476
LOC123397649_1	LOC123397649
LOC123405495_1	LOC123405495
LOC123395978_1	LOC123395978
LOC123397918_1	LOC123397918
LOC123398019_2	LOC123398019
LOC123398019_1	LOC123398019
LOC123405531_1	LOC123405531
LOC123398117_1	LOC123398117
LOC123405562_1	LOC123405562
LOC123398209_1	LOC123398209
LOC123405583_1	LOC123405583
LOC123398381_1	LOC123398381
LOC123398579_1	LOC123398579
LOC123398673_1	LOC123398673
LOC123398768_1	LOC123398768
LOC123399352_1	LOC123399352
LOC123398869_1	LOC123398869
LOC123398959_1	LOC123398959
LOC123399453_1	LOC123399453
LOC123399614_1	LOC123399614
LOC123400459_1	LOC123400459
LOC123400618_1	LOC123400618
LOC123401159_1	LOC123401159
LOC123401496_1	LOC123401496
LOC123401069_1	LOC123401069
LOC123401835_1	LOC123401835
LOC123402640_1	LOC123402640
LOC123402728_1	LOC123402728
LOC123402824_1	LOC123402824
LOC123402919_1	LOC123402919
LOC123405664_1	LOC123405664
LOC123403110_1	LOC123403110
LOC123403009_1	LOC123403009
LOC123403218_1	LOC123403218
LOC123403484_1	LOC123403484
LOC123405708_1	LOC123405708
LOC123403691_1	LOC123403691
LOC123403919_1	LOC123403919
LOC123404020_1	LOC123404020
LOC123404107_1	LOC123404107
LOC123405747_1	LOC123405747
LOC123405757_1	LOC123405757
LOC123405768_1	LOC123405768
LOC123405779_1	LOC123405779
LOC123404414_1	LOC123404414
LOC123404752_1	LOC123404752
LOC123404845_1	LOC123404845
LOC123405842_1	LOC123405842
LOC123405885_1	LOC123405885
LOC123405896_1	LOC123405896
LOC123405918_1	LOC123405918
LOC123405302_1	LOC123405302
LOC123405404_1	LOC123405404
LOC123405502_2	LOC123405502
LOC123405502_1	LOC123405502
LOC123405678_1	LOC123405678
LOC123405939_1	LOC123405939
LOC123405949_1	LOC123405949
LOC123405786_1	LOC123405786
LOC123405960_1	LOC123405960
LOC123405989_1	LOC123405989
LOC123406000_1	LOC123406000
LOC123406024_1	LOC123406024
LOC123406035_1	LOC123406035
LOC123406047_1	LOC123406047
LOC123406058_1	LOC123406058
LOC123406080_1	LOC123406080
LOC123406090_1	LOC123406090
LOC123406195_1	LOC123406195
LOC123406394_2	LOC123406394
LOC123406394_1	LOC123406394
LOC123406546_1	LOC123406546
LOC123407915_1	LOC123407915
LOC123408111_1	LOC123408111
LOC123408219_1	LOC123408219
LOC123408543_1	LOC123408543
LOC123408642_1	LOC123408642
LOC123408735_1	LOC123408735
LOC123406156_1	LOC123406156
LOC123406167_1	LOC123406167
LOC123408950_1	LOC123408950
LOC123409150_1	LOC123409150
LOC123409249_1	LOC123409249
LOC123409349_1	LOC123409349
LOC123406182_1	LOC123406182
LOC123409616_1	LOC123409616
LOC123409808_1	LOC123409808
LOC123409907_1	LOC123409907
LOC123410009_1	LOC123410009
LOC123406191_1	LOC123406191
LOC123410099_1	LOC123410099
LOC123406203_1	LOC123406203
LOC123410247_1	LOC123410247
LOC123410335_1	LOC123410335
LOC123410430_1	LOC123410430
LOC123410595_1	LOC123410595
LOC123406218_1	LOC123406218
LOC123410763_1	LOC123410763
LOC123411007_1	LOC123411007
LOC123406228_1	LOC123406228
LOC123406247_1	LOC123406247
LOC123411454_1	LOC123411454
LOC123411548_1	LOC123411548
LOC123411647_1	LOC123411647
LOC123411812_1	LOC123411812
LOC123396330_1	LOC123396330
LOC123411913_1	LOC123411913
LOC123412014_1	LOC123412014
LOC123406299_1	LOC123406299
LOC123412434_1	LOC123412434
LOC123412628_1	LOC123412628
LOC123412728_1	LOC123412728
LOC123406324_1	LOC123406324
LOC123412945_1	LOC123412945
LOC123413044_1	LOC123413044
LOC123406348_1	LOC123406348
LOC123413138_1	LOC123413138
LOC123413242_1	LOC123413242
LOC123413700_1	LOC123413700
LOC123413860_1	LOC123413860
LOC123414343_2	LOC123414343
LOC123414343_1	LOC123414343
LOC123414717_1	LOC123414717
LOC123414717_2	LOC123414717
LOC123415038_1	LOC123415038
LOC123415665_2	LOC123415665
LOC123415665_1	LOC123415665
LOC123415825_1	LOC123415825
LOC123415986_1	LOC123415986
LOC123416254_1	LOC123416254
LOC123406439_1	LOC123406439
LOC123416576_1	LOC123416576
LOC123396447_1	LOC123396447
LOC123416949_1	LOC123416949
LOC123406503_1	LOC123406503
LOC123406579_1	LOC123406579
LOC123406595_1	LOC123406595
LOC123417085_1	LOC123417085
LOC123417243_1	LOC123417243
LOC123417671_1	LOC123417671
LOC123417511_1	LOC123417511
LOC123418043_1	LOC123418043
LOC123406627_1	LOC123406627
LOC123418196_1	LOC123418196
LOC123418547_1	LOC123418547
LOC123418904_1	LOC123418904
LOC123419150_1	LOC123419150
LOC123419311_1	LOC123419311
LOC123419464_1	LOC123419464
LOC123419616_1	LOC123419616
LOC123406736_1	LOC123406736
LOC123420269_1	LOC123420269
LOC123420418_1	LOC123420418
LOC123420560_1	LOC123420560
LOC123420710_1	LOC123420710
LOC123406803_1	LOC123406803
LOC123406819_1	LOC123406819
LOC123406835_1	LOC123406835
LOC123406851_1	LOC123406851
LOC123420859_1	LOC123420859
LOC123421212_1	LOC123421212
LOC123396514_1	LOC123396514
LOC123421365_1	LOC123421365
LOC123406945_1	LOC123406945
LOC123421511_1	LOC123421511
LOC123421667_2	LOC123421667
LOC123421667_1	LOC123421667
LOC123421814_1	LOC123421814
LOC123421968_1	LOC123421968
LOC123422116_1	LOC123422116
LOC123422270_1	LOC123422270
LOC123422427_1	LOC123422427
LOC123422584_1	LOC123422584
LOC123422737_1	LOC123422737
LOC123423045_1	LOC123423045
LOC123423198_1	LOC123423198
LOC123407019_1	LOC123407019
LOC123423347_1	LOC123423347
LOC123423501_1	LOC123423501
LOC123423658_1	LOC123423658
LOC123407042_1	LOC123407042
LOC123407050_1	LOC123407050
LOC123423952_1	LOC123423952
LOC123423984_1	LOC123423984
LOC123424203_1	LOC123424203
LOC123424186_1	LOC123424186
LOC123424219_1	LOC123424219
LOC123424219_2	LOC123424219
LOC123424245_1	LOC123424245
LOC123424277_1	LOC123424277
LOC123424293_1	LOC123424293
LOC123424309_1	LOC123424309
LOC123407105_1	LOC123407105
LOC123424361_1	LOC123424361
LOC123424372_1	LOC123424372
LOC123424383_1	LOC123424383
LOC123407125_1	LOC123407125
LOC123407133_1	LOC123407133
LOC123424396_1	LOC123424396
LOC123407166_1	LOC123407166
LOC123424404_1	LOC123424404
LOC123424419_1	LOC123424419
LOC123407181_1	LOC123407181
LOC123424438_1	LOC123424438
LOC123424428_1	LOC123424428
LOC123424450_2	LOC123424450
LOC123424450_1	LOC123424450
LOC123424461_1	LOC123424461
LOC123424489_1	LOC123424489
LOC123424508_1	LOC123424508
LOC123424529_1	LOC123424529
LOC123407199_1	LOC123407199
LOC123407199_2	LOC123407199
LOC123424560_1	LOC123424560
LOC123424579_1	LOC123424579
LOC123424592_1	LOC123424592
LOC123424615_1	LOC123424615
LOC123424625_1	LOC123424625
LOC123424642_1	LOC123424642
LOC123424653_1	LOC123424653
LOC123407218_1	LOC123407218
LOC123424661_1	LOC123424661
LOC123424708_1	LOC123424708
LOC123424708_2	LOC123424708
LOC123424723_1	LOC123424723
LOC123424747_1	LOC123424747
LOC123424757_1	LOC123424757
LOC123424766_2	LOC123424766
LOC123424766_1	LOC123424766
LOC123424778_1	LOC123424778
LOC123424787_1	LOC123424787
LOC123407258_1	LOC123407258
LOC123396719_1	LOC123396719
LOC123424842_1	LOC123424842
LOC123424918_1	LOC123424918
LOC123407283_1	LOC123407283
LOC123424929_1	LOC123424929
LOC123424940_1	LOC123424940
LOC123407309_1	LOC123407309
LOC123407318_1	LOC123407318
LOC123407334_1	LOC123407334
LOC123407345_1	LOC123407345
LOC123425015_1	LOC123425015
LOC123425024_1	LOC123425024
LOC123425055_1	LOC123425055
LOC123425096_1	LOC123425096
LOC123425107_1	LOC123425107
LOC123425118_1	LOC123425118
LOC123425127_1	LOC123425127
LOC123425137_1	LOC123425137
LOC123407356_1	LOC123407356
LOC123407366_1	LOC123407366
LOC123396864_1	LOC123396864
LOC123425146_1	LOC123425146
LOC123425166_1	LOC123425166
LOC123425177_1	LOC123425177
LOC123407390_1	LOC123407390
LOC123407401_1	LOC123407401
LOC123425245_1	LOC123425245
LOC123396896_1	LOC123396896
LOC123425254_1	LOC123425254
LOC123407423_1	LOC123407423
LOC123407432_1	LOC123407432
LOC123425272_1	LOC123425272
LOC123425282_1	LOC123425282
LOC123407470_1	LOC123407470
LOC123425296_1	LOC123425296
LOC123425306_1	LOC123425306
LOC123407478_1	LOC123407478
LOC123425326_1	LOC123425326
LOC123425335_1	LOC123425335
LOC123425344_1	LOC123425344
LOC123425353_1	LOC123425353
LOC123425414_1	LOC123425414
LOC123425424_1	LOC123425424
LOC123407504_1	LOC123407504
LOC123397025_1	LOC123397025
LOC123425436_1	LOC123425436
LOC123425445_1	LOC123425445
LOC123425454_1	LOC123425454
LOC123425471_1	LOC123425471
LOC123425502_1	LOC123425502
LOC123425514_1	LOC123425514
LOC123425542_1	LOC123425542
LOC123407527_1	LOC123407527
LOC123407533_1	LOC123407533
LOC123425559_1	LOC123425559
LOC123425549_1	LOC123425549
LOC123425577_1	LOC123425577
LOC123407551_1	LOC123407551
LOC123407562_1	LOC123407562
LOC123425585_1	LOC123425585
LOC123425604_1	LOC123425604
LOC123425620_1	LOC123425620
LOC123407573_1	LOC123407573
LOC123425628_1	LOC123425628
LOC123407581_1	LOC123407581
LOC123425683_1	LOC123425683
LOC123425691_1	LOC123425691
LOC123425719_1	LOC123425719
LOC123425737_1	LOC123425737
LOC123425761_1	LOC123425761
LOC123425757_1	LOC123425757
LOC123425772_2	LOC123425772
LOC123425772_1	LOC123425772
LOC123425807_1	LOC123425807
LOC123425839_1	LOC123425839
LOC123425848_1	LOC123425848
LOC123425874_1	LOC123425874
LOC123425883_1	LOC123425883
LOC123425889_1	LOC123425889
LOC123425898_1	LOC123425898
LOC123425904_1	LOC123425904
LOC123407626_1	LOC123407626
LOC123425939_1	LOC123425939
LOC123425946_1	LOC123425946
LOC123407657_1	LOC123407657
LOC123425982_1	LOC123425982
LOC123425990_1	LOC123425990
LOC123425998_1	LOC123425998
LOC123426006_1	LOC123426006
LOC123426015_1	LOC123426015
LOC123426024_1	LOC123426024
LOC123426032_1	LOC123426032
LOC123407683_1	LOC123407683
LOC123426040_1	LOC123426040
LOC123426059_1	LOC123426059
LOC123426067_1	LOC123426067
LOC123426077_1	LOC123426077
LOC123426091_1	LOC123426091
LOC123426109_1	LOC123426109
LOC123426130_1	LOC123426130
LOC123407699_1	LOC123407699
LOC123426139_1	LOC123426139
LOC123426146_1	LOC123426146
LOC123426162_1	LOC123426162
LOC123407708_1	LOC123407708
LOC123426175_1	LOC123426175
LOC123426191_1	LOC123426191
LOC123426206_1	LOC123426206
LOC123426197_1	LOC123426197
LOC123426216_1	LOC123426216
LOC123426224_1	LOC123426224
LOC123426234_1	LOC123426234
LOC123426241_1	LOC123426241
LOC123426251_1	LOC123426251
LOC123426261_1	LOC123426261
LOC123426270_1	LOC123426270
LOC123407724_1	LOC123407724
LOC123426281_1	LOC123426281
LOC123426296_1	LOC123426296
LOC123426363_1	LOC123426363
LOC123426387_1	LOC123426387
LOC123426392_1	LOC123426392
LOC123426400_1	LOC123426400
LOC123426405_1	LOC123426405
LOC123407758_1	LOC123407758
LOC123426411_1	LOC123426411
LOC123426429_1	LOC123426429
LOC123426438_1	LOC123426438
LOC123426444_1	LOC123426444
LOC123426454_1	LOC123426454
LOC123407778_1	LOC123407778
LOC123407796_1	LOC123407796
LOC123426473_1	LOC123426473
LOC123426464_1	LOC123426464
LOC123407804_1	LOC123407804
LOC123426487_1	LOC123426487
LOC123426506_1	LOC123426506
LOC123426495_1	LOC123426495
LOC123426515_2	LOC123426515
LOC123426515_1	LOC123426515
LOC123426532_1	LOC123426532
LOC123426547_1	LOC123426547
LOC123426538_1	LOC123426538
LOC123426550_1	LOC123426550
LOC123426559_1	LOC123426559
LOC123426578_1	LOC123426578
LOC123426588_1	LOC123426588
LOC123426597_1	LOC123426597
LOC123407856_1	LOC123407856
LOC123426631_1	LOC123426631
LOC123426648_1	LOC123426648
LOC123407872_1	LOC123407872
LOC123426673_1	LOC123426673
LOC123426691_1	LOC123426691
LOC123426699_1	LOC123426699
LOC123426711_1	LOC123426711
LOC123426711_2	LOC123426711
LOC123426718_1	LOC123426718
LOC123426727_1	LOC123426727
LOC123397441_1	LOC123397441
LOC123407902_1	LOC123407902
LOC123426737_1	LOC123426737
LOC123426737_2	LOC123426737
LOC123426754_1	LOC123426754
LOC123407912_1	LOC123407912
LOC123426763_1	LOC123426763
LOC123426779_1	LOC123426779
LOC123426806_1	LOC123426806
LOC123426814_1	LOC123426814
LOC123426832_1	LOC123426832
LOC123426842_1	LOC123426842
LOC123426877_1	LOC123426877
LOC123407969_1	LOC123407969
LOC123407980_1	LOC123407980
LOC123407989_1	LOC123407989
LOC123426912_1	LOC123426912
LOC123426897_1	LOC123426897
LOC123408061_1	LOC123408061
LOC123426920_1	LOC123426920
LOC123408081_1	LOC123408081
LOC123426939_1	LOC123426939
LOC123426972_1	LOC123426972
LOC123426992_2	LOC123426992
LOC123426992_1	LOC123426992
LOC123427000_1	LOC123427000
LOC123427009_1	LOC123427009
LOC123427028_1	LOC123427028
LOC123427038_1	LOC123427038
LOC123427055_1	LOC123427055
LOC123427066_1	LOC123427066
LOC123427074_1	LOC123427074
LOC123427074_2	LOC123427074
LOC123427081_1	LOC123427081
LOC123427090_1	LOC123427090
LOC123408155_1	LOC123408155
LOC123427116_1	LOC123427116
LOC123427125_1	LOC123427125
LOC123427134_1	LOC123427134
LOC123427139_1	LOC123427139
LOC123427155_1	LOC123427155
LOC123408166_1	LOC123408166
LOC123427165_1	LOC123427165
LOC123427188_1	LOC123427188
LOC123427196_1	LOC123427196
LOC123427222_1	LOC123427222
LOC123427242_1	LOC123427242
LOC123427242_3	LOC123427242
LOC123427242_2	LOC123427242
LOC123427258_1	LOC123427258
LOC123427285_1	LOC123427285
LOC123427301_1	LOC123427301
LOC123427312_1	LOC123427312
LOC123427312_2	LOC123427312
LOC123408184_1	LOC123408184
LOC123408184_2	LOC123408184
LOC123427320_1	LOC123427320
LOC123408212_1	LOC123408212
LOC123427329_1	LOC123427329
LOC123408231_1	LOC123408231
LOC123427343_1	LOC123427343
LOC123427354_1	LOC123427354
LOC123408252_1	LOC123408252
LOC123427397_1	LOC123427397
LOC123427397_2	LOC123427397
LOC123427475_1	LOC123427475
LOC123427483_1	LOC123427483
LOC123427490_1	LOC123427490
LOC123427504_1	LOC123427504
LOC123427513_1	LOC123427513
LOC123427522_1	LOC123427522
LOC123427556_1	LOC123427556
LOC123427565_1	LOC123427565
LOC123427585_1	LOC123427585
LOC123427595_1	LOC123427595
LOC123427604_1	LOC123427604
LOC123427635_1	LOC123427635
LOC123408304_1	LOC123408304
LOC123427641_1	LOC123427641
LOC123427650_1	LOC123427650
LOC123427658_1	LOC123427658
LOC123427668_1	LOC123427668
LOC123408334_1	LOC123408334
LOC123427702_1	LOC123427702
LOC123427729_1	LOC123427729
LOC123427740_1	LOC123427740
LOC123427773_1	LOC123427773
LOC123427783_1	LOC123427783
LOC123427793_1	LOC123427793
LOC123427799_1	LOC123427799
LOC123427807_1	LOC123427807
LOC123427817_1	LOC123427817
LOC123427824_1	LOC123427824
LOC123427833_1	LOC123427833
LOC123427844_1	LOC123427844
LOC123427868_1	LOC123427868
LOC123427878_1	LOC123427878
LOC123427887_1	LOC123427887
LOC123427894_1	LOC123427894
LOC123427916_1	LOC123427916
LOC123427942_1	LOC123427942
LOC123427951_1	LOC123427951
LOC123427966_1	LOC123427966
LOC123427977_1	LOC123427977
LOC123427989_1	LOC123427989
LOC123427999_1	LOC123427999
LOC123428008_1	LOC123428008
LOC123428016_1	LOC123428016
LOC123428025_1	LOC123428025
LOC123428060_1	LOC123428060
LOC123428087_1	LOC123428087
LOC123428101_1	LOC123428101
LOC123428124_1	LOC123428124
LOC123428140_1	LOC123428140
LOC123428147_1	LOC123428147
LOC123428183_1	LOC123428183
LOC123428205_1	LOC123428205
LOC123428219_1	LOC123428219
LOC123408505_1	LOC123408505
LOC123428245_1	LOC123428245
LOC123428262_1	LOC123428262
LOC123428286_1	LOC123428286
LOC123428300_1	LOC123428300
LOC123428335_1	LOC123428335
LOC123428368_1	LOC123428368
LOC123428378_1	LOC123428378
LOC123428396_1	LOC123428396
LOC123428419_1	LOC123428419
LOC123428443_1	LOC123428443
LOC123428477_1	LOC123428477
LOC123428503_2	LOC123428503
LOC123428503_1	LOC123428503
LOC123428512_1	LOC123428512
LOC123428545_1	LOC123428545
LOC123428588_1	LOC123428588
LOC123428647_1	LOC123428647
LOC123428665_1	LOC123428665
LOC123428688_1	LOC123428688
LOC123428710_1	LOC123428710
LOC123428721_1	LOC123428721
LOC123428732_1	LOC123428732
LOC123428742_1	LOC123428742
LOC123428773_1	LOC123428773
LOC123428791_1	LOC123428791
LOC123428819_1	LOC123428819
LOC123428862_1	LOC123428862
LOC123428881_1	LOC123428881
LOC123428892_1	LOC123428892
LOC123428937_1	LOC123428937
LOC123428974_1	LOC123428974
LOC123428985_1	LOC123428985
LOC123429009_1	LOC123429009
LOC123408872_1	LOC123408872
LOC123429059_1	LOC123429059
LOC123429101_1	LOC123429101
LOC123429112_1	LOC123429112
LOC123408910_1	LOC123408910
LOC123429162_1	LOC123429162
LOC123429173_1	LOC123429173
LOC123429238_1	LOC123429238
LOC123429269_1	LOC123429269
LOC123429294_1	LOC123429294
LOC123429315_1	LOC123429315
LOC123429315_2	LOC123429315
LOC123429333_1	LOC123429333
LOC123429346_1	LOC123429346
LOC123429355_1	LOC123429355
LOC123429375_1	LOC123429375
LOC123429464_1	LOC123429464
LOC123429483_1	LOC123429483
LOC123429507_1	LOC123429507
LOC123409031_1	LOC123409031
LOC123409052_1	LOC123409052
LOC123409078_1	LOC123409078
LOC123429554_1	LOC123429554
LOC123429543_1	LOC123429543
LOC123409087_1	LOC123409087
LOC123429581_1	LOC123429581
LOC123429570_1	LOC123429570
LOC123429591_1	LOC123429591
LOC123409105_1	LOC123409105
LOC123409116_2	LOC123409116
LOC123409116_1	LOC123409116
LOC123429610_1	LOC123429610
LOC123429645_1	LOC123429645
LOC123429664_1	LOC123429664
LOC123409135_1	LOC123409135
LOC123429675_1	LOC123429675
LOC123429704_1	LOC123429704
LOC123429686_1	LOC123429686
LOC123409142_1	LOC123409142
LOC123429715_1	LOC123429715
LOC123429726_1	LOC123429726
LOC123429749_1	LOC123429749
LOC123409154_1	LOC123409154
LOC123429774_1	LOC123429774
LOC123429797_1	LOC123429797
LOC123429815_1	LOC123429815
LOC123409164_1	LOC123409164
LOC123429845_1	LOC123429845
LOC123429876_1	LOC123429876
LOC123429886_1	LOC123429886
LOC123429906_1	LOC123429906
LOC123429917_1	LOC123429917
LOC123429935_1	LOC123429935
LOC123429951_1	LOC123429951
LOC123429974_1	LOC123429974
LOC123409183_1	LOC123409183
LOC123409202_1	LOC123409202
LOC123430000_1	LOC123430000
LOC123409212_2	LOC123409212
LOC123409212_1	LOC123409212
LOC123430024_1	LOC123430024
LOC123398292_1	LOC123398292
LOC123430044_1	LOC123430044
LOC123430073_1	LOC123430073
LOC123430085_1	LOC123430085
LOC123430133_1	LOC123430133
LOC123430145_1	LOC123430145
LOC123430155_1	LOC123430155
LOC123430164_1	LOC123430164
LOC123430174_1	LOC123430174
LOC123430194_1	LOC123430194
LOC123430212_1	LOC123430212
LOC123430249_1	LOC123430249
LOC123409256_1	LOC123409256
LOC123430282_1	LOC123430282
LOC123430265_1	LOC123430265
LOC123430292_1	LOC123430292
LOC123430302_1	LOC123430302
LOC123409276_1	LOC123409276
LOC123409286_1	LOC123409286
