#Name	GGCCCA	TATA	Y-patch	YR
LOC123442009_1	0	0	1	1
LOC123409756_1	0	0	0	1
LOC123443753_1	0	0	1	1
LOC123435896_1	1	0	1	1
LOC123446487_1	1	0	0	1
LOC123431111_1	0	1	0	1
LOC123446645_1	0	1	0	1
LOC123445560_1	0	0	0	0
LOC123400154_1	0	1	0	1
LOC123404123_1	0	0	0	1
LOC123452921_1	1	0	1	1
LOC123407524_1	0	0	0	1
LOC123447857_1	0	0	0	1
LOC123445424_1	0	0	1	1
LOC123428504_1	1	0	1	1
LOC123406188_1	0	0	0	1
LOC123397320_1	0	0	0	1
LOC123420622_1	0	0	1	1
LOC123447917_1	0	0	0	1
LOC123447944_2	0	0	1	1
LOC123402410_1	0	1	0	1
LOC123429211_1	0	0	0	1
LOC123412451_1	0	0	0	1
LOC123399166_1	0	0	0	1
LOC123448159_1	0	0	1	1
LOC123395236_1	0	0	1	1
LOC123403446_1	0	1	0	1
LOC123427397_1	0	0	0	1
LOC123407771_1	0	0	1	1
LOC123406036_1	1	0	0	1
LOC123449768_1	0	0	0	1
LOC123452363_1	0	0	1	1
LOC123441571_1	0	1	0	0
LOC123451920_1	0	0	0	1
LOC123439983_1	0	0	0	1
LOC123426884_1	0	1	0	1
LOC123447385_1	0	0	0	1
LOC123430046_1	0	0	1	1
LOC123449219_1	1	0	1	1
LOC123439147_1	1	1	1	1
LOC123399667_1	0	0	1	1
LOC123445585_1	0	0	0	1
LOC123430906_1	0	1	0	1
LOC123451814_1	0	0	0	1
LOC123412776_1	0	0	0	1
LOC123395746_1	0	0	0	1
LOC123404481_1	0	1	0	1
LOC123440246_1	0	0	1	1
LOC123399600_1	0	1	1	1
LOC123442830_1	0	0	0	0
LOC123444271_1	0	0	1	1
LOC123411192_1	0	0	0	1
LOC123448964_1	1	0	0	1
LOC123426777_1	0	0	0	1
LOC123394987_1	0	0	0	1
LOC123421412_1	1	0	1	1
LOC123448855_1	0	0	1	1
LOC123408376_1	0	0	0	1
LOC123430887_1	1	0	0	1
LOC123402132_1	0	0	0	1
LOC123442826_1	0	0	0	1
LOC123402342_1	0	0	1	1
LOC123395687_1	1	0	0	1
LOC123412381_1	1	0	1	1
LOC123447689_1	1	0	0	1
LOC123403859_1	0	0	0	1
LOC123401179_1	0	0	0	1
LOC123427714_1	0	1	0	1
LOC123410103_1	0	0	0	1
LOC123444894_1	0	1	0	1
LOC123410337_1	0	0	1	1
LOC123399104_1	0	1	0	1
LOC123441354_1	1	0	0	1
LOC123410668_1	0	1	0	1
LOC123410746_1	1	0	0	1
LOC123425580_1	0	0	0	1
LOC123428472_1	0	0	0	1
LOC123452042_1	0	0	1	1
LOC123409300_1	0	1	0	1
LOC123412941_1	0	0	0	1
LOC123449916_1	0	0	0	1
LOC123449000_1	0	0	0	1
LOC123427475_1	0	0	0	1
LOC123412722_1	1	0	0	1
LOC123447694_1	0	0	1	1
LOC123406249_1	0	0	0	0
LOC123403049_1	0	0	0	1
LOC123452382_1	0	0	1	1
LOC123448205_1	1	0	1	1
LOC123413596_1	0	1	1	1
LOC123427514_1	0	0	1	1
LOC123411706_1	0	0	1	1
LOC123397529_1	0	0	1	1
LOC123443704_1	0	0	1	1
LOC123428102_1	0	0	0	1
LOC123440290_1	0	0	0	0
LOC123413332_1	1	0	1	1
LOC123417672_1	0	1	1	1
LOC123409164_1	0	0	0	1
LOC123429009_1	0	0	1	1
LOC123430424_1	0	0	0	1
LOC123447232_1	0	1	0	1
LOC123427232_1	0	0	1	1
LOC123442356_1	0	0	1	1
LOC123402175_1	0	1	0	1
LOC123426026_1	0	1	0	1
LOC123427087_1	0	0	1	1
LOC123449740_1	0	0	0	1
LOC123426274_1	0	1	0	1
LOC123404027_1	0	0	1	1
LOC123399464_1	0	0	0	1
LOC123444156_1	0	0	1	1
LOC123444604_2	0	0	1	1
LOC123446973_1	0	0	0	1
LOC123431139_1	0	0	0	1
LOC123427343_1	0	0	1	1
LOC123449926_1	1	0	0	0
LOC123452378_1	0	1	0	1
LOC123408908_1	0	0	0	1
LOC123424510_1	0	0	1	1
LOC123448102_1	0	0	0	0
LOC123407022_1	0	0	1	1
LOC123410346_1	0	1	0	0
LOC123444986_1	0	1	0	1
LOC123409898_1	0	0	0	1
LOC123442366_1	0	1	1	1
LOC123406999_1	1	0	0	1
LOC123447646_1	0	0	1	1
LOC123430124_1	0	0	0	1
LOC123452825_1	0	0	0	1
LOC123451913_1	0	0	0	1
LOC123442887_1	1	0	0	1
LOC123402985_1	0	1	0	1
LOC123412916_2	0	0	1	1
LOC123410699_1	0	0	1	1
LOC123395747_1	0	0	0	1
LOC123409658_1	1	0	0	1
LOC123426595_2	0	1	0	1
LOC123405842_1	0	1	1	1
LOC123445823_1	0	0	0	1
LOC123449717_1	0	0	1	1
LOC123407920_1	0	0	0	0
LOC123411839_1	0	1	0	1
LOC123447080_1	0	0	0	1
LOC123398756_1	0	1	0	1
LOC123398649_1	0	1	1	1
LOC123445632_1	0	1	0	0
LOC123412177_1	0	1	1	1
LOC123428380_1	0	0	0	1
LOC123427416_1	0	0	0	1
LOC123440103_1	0	1	0	1
LOC123395575_1	0	0	1	1
LOC123447632_1	1	1	0	1
LOC123413356_1	0	0	0	1
LOC123405092_1	0	1	0	1
LOC123398544_1	0	1	0	1
LOC123445665_1	0	0	0	0
LOC123444596_1	0	0	0	1
LOC123424776_1	1	0	0	1
LOC123404613_1	0	0	0	1
LOC123401370_1	0	0	0	1
LOC123442513_1	0	0	1	1
LOC123407231_1	0	1	0	1
LOC123442965_1	0	0	0	1
LOC123404416_1	0	0	0	1
LOC123408367_1	0	0	0	1
LOC123440241_1	0	0	0	1
LOC123425719_1	0	1	0	1
LOC123449765_1	0	1	0	1
LOC123444150_3	0	0	0	1
LOC123412625_1	0	0	1	1
LOC123399816_1	1	0	0	0
LOC123425709_1	1	1	1	1
LOC123447313_1	0	0	0	1
LOC123427783_1	1	0	1	1
LOC123440226_1	0	0	0	1
LOC123407479_1	1	0	1	1
LOC123440216_1	0	1	0	1
LOC123397978_1	0	0	1	1
LOC123426758_1	0	0	0	1
LOC123396018_1	0	1	0	1
LOC123452901_1	0	0	0	1
LOC123404078_1	0	0	1	1
LOC123428375_1	0	0	1	1
LOC123430358_1	0	1	0	1
LOC123424896_1	0	0	1	1
LOC123401971_1	0	0	1	1
LOC123396655_1	0	1	0	1
LOC123445106_1	0	0	0	1
LOC123410251_1	0	1	0	1
LOC123427488_2	0	0	0	1
LOC123452429_1	0	0	0	1
LOC123444936_1	0	1	0	1
LOC123397690_1	0	1	0	1
LOC123409707_1	0	0	0	1
LOC123413512_1	1	0	0	1
LOC123446982_1	0	0	1	1
LOC123440025_1	0	0	0	1
LOC123402428_1	0	0	1	1
LOC123409142_1	0	0	1	1
LOC123445212_1	0	0	0	1
LOC123448398_1	0	0	1	1
LOC123429113_1	0	1	0	1
LOC123452368_1	0	0	0	1
LOC123439203_1	0	0	0	1
LOC123445745_1	0	0	0	1
LOC123445726_2	0	0	1	1
LOC123428161_1	0	0	0	1
LOC123429715_1	0	0	0	1
LOC123403096_1	0	0	1	1
LOC123425953_1	0	0	0	0
LOC123419273_1	0	1	0	1
LOC123431500_1	0	0	1	1
LOC123407403_1	1	0	0	1
LOC123452035_1	1	1	1	1
LOC123410268_1	0	0	0	1
LOC123412059_1	1	0	1	1
LOC123452197_1	1	0	1	1
LOC123443528_1	0	0	1	1
LOC123401664_1	0	1	1	1
LOC123448692_2	0	0	0	1
LOC123444906_1	0	0	1	1
LOC123451844_1	0	1	1	1
LOC123430040_1	0	0	1	1
LOC123394930_1	0	0	0	1
LOC123444748_1	0	1	0	0
LOC123435965_1	0	0	0	1
LOC123410016_1	0	0	0	1
LOC123429778_1	1	1	1	1
LOC123395185_1	0	1	1	1
LOC123396721_1	0	1	1	1
LOC123410017_1	0	0	1	1
LOC123448704_1	0	0	0	1
LOC123425706_1	0	0	1	1
LOC123407243_1	0	0	0	1
LOC123444262_1	0	0	1	1
LOC123445519_1	0	1	0	1
LOC123405125_1	0	0	0	1
LOC123448624_1	0	0	1	1
LOC123425788_1	0	0	1	1
LOC123411323_1	1	0	0	1
LOC123418606_1	0	1	1	1
LOC123426469_1	0	1	0	1
LOC123448119_1	0	0	1	1
LOC123448608_1	0	0	1	1
LOC123449759_1	0	1	0	1
LOC123451997_1	0	1	1	1
LOC123443640_1	0	1	0	1
LOC123403652_1	0	0	0	1
LOC123426147_1	0	0	0	1
LOC123427255_1	0	0	0	1
LOC123447837_1	1	0	0	1
LOC123399952_1	0	0	0	0
LOC123403073_1	0	0	0	1
LOC123426569_1	0	0	1	1
LOC123412389_1	0	0	0	1
LOC123402151_1	1	0	1	1
LOC123430357_1	0	0	0	1
LOC123447373_1	1	0	0	1
LOC123444917_1	0	0	1	1
LOC123452702_1	0	1	1	1
LOC123409742_1	0	0	1	1
LOC123411946_1	1	0	0	1
LOC123438230_1	0	0	1	1
LOC123403146_1	0	1	0	1
LOC123444638_1	0	0	0	1
LOC123412539_1	0	1	0	1
LOC123427710_1	0	0	0	1
LOC123413613_1	0	0	1	1
LOC123406361_1	0	1	1	1
LOC123403613_1	0	0	0	1
LOC123412694_1	0	0	0	1
LOC123399369_1	0	0	1	1
LOC123408680_2	0	1	1	1
LOC123413279_1	0	0	1	1
LOC123427886_1	0	0	0	0
LOC123444582_1	0	0	0	0
LOC123440627_1	0	0	1	1
LOC123445393_1	0	0	1	1
LOC123402222_1	1	1	0	1
LOC123398481_1	0	1	1	1
LOC123396553_1	0	0	0	1
LOC123410156_1	0	0	1	1
LOC123443351_1	0	0	0	1
LOC123399192_1	0	0	0	1
LOC123403660_1	1	0	0	1
LOC123443023_1	1	0	0	1
LOC123430615_1	0	0	0	1
LOC123425796_1	0	1	0	0
LOC123447440_1	0	0	0	1
LOC123407033_1	0	0	0	1
LOC123410141_1	0	0	1	1
LOC123452032_1	0	0	0	1
LOC123404662_1	0	1	0	1
LOC123426697_1	0	1	0	1
LOC123427487_2	0	0	1	1
LOC123447676_1	0	0	0	1
LOC123418869_1	0	0	0	1
LOC123407717_1	0	1	1	1
LOC123403967_1	0	0	0	1
LOC123398715_1	0	1	0	1
LOC123397710_1	0	1	0	1
LOC123427846_1	0	0	1	1
LOC123445310_1	0	0	1	1
LOC123411219_1	0	0	0	1
LOC123427680_1	0	0	0	1
LOC123428069_1	1	0	1	1
LOC123412663_1	1	0	0	0
LOC123409945_1	0	1	0	1
LOC123426923_1	0	0	0	1
LOC123449459_1	0	1	0	1
LOC123424808_1	0	0	0	1
LOC123450971_1	0	0	1	1
LOC123403400_1	1	0	1	1
LOC123432911_2	0	0	1	1
LOC123413330_1	0	1	0	1
LOC123410078_1	1	0	0	1
LOC123426444_1	0	0	0	1
LOC123443709_1	0	0	0	1
LOC123430423_1	0	1	0	1
LOC123445073_1	0	1	0	1
LOC123404385_1	0	0	1	1
LOC123409832_1	0	0	0	1
LOC123408938_1	0	0	1	1
LOC123425844_1	0	0	1	1
LOC123445668_1	1	0	0	1
LOC123396379_1	0	1	0	1
LOC123399955_1	0	0	0	1
LOC123429986_1	0	0	1	1
LOC123424755_1	1	0	0	1
LOC123408922_1	0	0	0	1
LOC123440117_1	0	0	1	1
LOC123439112_1	0	1	1	1
LOC123401776_1	0	1	0	1
LOC123431122_1	0	0	1	1
LOC123452561_1	0	0	1	1
LOC123431272_1	1	0	0	0
LOC123407947_1	0	0	0	1
LOC123444034_1	0	0	0	1
LOC123398563_1	0	1	0	1
LOC123400203_1	0	0	0	1
LOC123446846_1	0	1	1	1
LOC123424751_1	0	0	0	1
LOC123451116_1	0	0	0	1
LOC123407669_1	0	0	0	1
LOC123425254_1	0	0	1	1
LOC123401752_1	0	0	1	1
LOC123440883_1	0	0	1	1
LOC123442553_1	1	1	0	1
LOC123395233_1	0	0	0	1
LOC123443457_1	0	0	0	1
LOC123417875_1	0	0	1	1
LOC123408455_1	0	0	1	1
LOC123407594_1	0	0	1	1
LOC123452443_1	0	0	0	1
LOC123404170_1	0	0	1	1
LOC123413342_1	0	0	1	1
LOC123425349_1	0	1	0	1
LOC123427529_1	0	0	0	1
LOC123442870_1	0	0	1	1
LOC123425416_1	0	0	1	1
LOC123402767_1	1	0	0	1
LOC123407876_1	0	0	0	1
LOC123395022_1	0	0	1	1
LOC123436955_1	0	0	0	1
LOC123439296_1	0	1	0	1
LOC123448798_1	0	0	0	1
LOC123403933_1	0	0	1	1
LOC123445229_1	0	0	0	1
LOC123449433_2	0	0	0	1
LOC123407801_1	0	1	0	1
LOC123411402_1	0	0	0	0
LOC123442476_1	1	0	0	1
LOC123451779_1	0	0	1	1
LOC123424908_1	0	1	0	1
LOC123408788_1	0	0	0	1
LOC123433531_1	0	0	0	1
LOC123402281_2	0	0	0	1
LOC123398555_1	1	0	1	1
LOC123397686_1	1	0	0	1
LOC123426903_1	0	0	0	1
LOC123449433_1	0	0	1	1
LOC123402922_1	0	0	1	1
LOC123452191_1	0	0	0	1
LOC123397685_1	0	0	1	1
LOC123444122_1	0	1	0	1
LOC123449429_1	0	0	1	1
LOC123406079_1	1	1	0	1
LOC123452367_1	0	0	1	1
LOC123429262_1	0	1	0	1
LOC123406122_1	0	1	0	1
LOC123449743_1	0	1	0	1
LOC123427184_1	0	0	0	1
LOC123428896_1	0	0	1	1
LOC123425829_1	0	1	0	1
LOC123444187_1	0	1	0	1
LOC123429943_1	0	1	0	1
LOC123427725_1	0	0	0	1
LOC123412455_1	0	1	1	1
LOC123442919_1	0	1	0	1
LOC123397979_1	0	0	1	1
LOC123427162_1	0	0	1	1
LOC123403123_1	0	1	1	1
LOC123409106_1	0	1	1	1
LOC123450598_1	0	1	1	1
LOC123407606_1	1	0	0	1
LOC123394957_1	0	0	0	1
LOC123446576_1	0	0	1	1
LOC123442893_1	0	0	0	1
LOC123403734_1	0	0	0	1
LOC123408883_1	0	0	0	1
LOC123449602_1	0	0	0	1
LOC123425633_1	1	0	1	1
LOC123407415_1	0	0	1	1
LOC123444416_1	0	0	0	1
LOC123447731_1	0	0	0	1
LOC123428205_1	0	0	0	1
LOC123449205_1	0	0	0	1
LOC123402274_1	0	1	0	1
LOC123396412_1	0	0	0	1
LOC123446493_1	0	0	0	1
LOC123410669_1	0	0	1	1
LOC123401597_1	0	0	0	1
LOC123404279_1	0	0	1	1
LOC123451160_1	0	0	1	1
LOC123430675_1	0	1	1	1
LOC123425098_1	1	1	1	1
LOC123425834_1	1	1	0	1
LOC123442443_1	0	0	1	1
LOC123449536_1	0	0	1	1
LOC123425455_1	0	0	0	1
LOC123427093_1	0	1	0	1
LOC123442733_1	0	1	0	1
LOC123398180_1	0	1	0	1
LOC123403835_1	0	0	0	1
LOC123427942_1	0	0	0	1
LOC123413606_1	0	0	1	1
LOC123428152_1	0	0	1	1
LOC123404040_1	1	0	1	1
LOC123397295_1	1	0	0	1
LOC123428431_1	0	0	0	1
LOC123452456_1	0	0	0	1
LOC123407818_1	1	0	1	1
LOC123401417_1	0	0	0	1
LOC123402796_1	0	0	1	1
LOC123424594_1	1	0	0	1
LOC123407229_1	1	0	0	1
LOC123425824_1	0	0	0	1
LOC123398069_1	0	0	0	1
LOC123430739_1	0	1	0	1
LOC123425609_1	0	1	0	1
LOC123402174_1	0	0	0	1
LOC123449541_1	0	0	0	1
LOC123426732_1	0	0	0	1
LOC123431163_1	0	1	0	1
LOC123447579_2	0	0	0	1
LOC123412998_1	0	0	0	1
LOC123395962_1	0	0	0	1
LOC123443053_1	0	0	0	1
LOC123424440_1	0	0	0	1
LOC123402299_1	1	0	0	1
LOC123401436_1	0	0	0	1
LOC123407582_1	0	0	0	1
LOC123430977_1	0	1	1	1
LOC123444510_1	0	0	1	1
LOC123444895_1	0	0	1	1
LOC123452381_1	0	0	0	1
LOC123452479_1	0	0	0	1
LOC123407339_1	0	0	0	1
LOC123430222_1	0	1	0	1
LOC123448821_2	0	0	0	1
LOC123424517_1	0	1	0	1
LOC123395118_1	0	0	1	1
LOC123401034_1	0	0	1	1
LOC123405180_1	0	0	0	1
LOC123399595_1	1	0	0	1
LOC123410945_1	0	1	0	1
LOC123444827_1	0	0	0	0
LOC123398244_1	0	0	0	1
LOC123452576_1	0	1	0	1
LOC123395581_1	0	0	0	1
LOC123438767_1	0	0	0	1
LOC123403584_2	0	0	0	1
LOC123401959_1	0	0	1	1
LOC123399196_1	1	1	0	1
LOC123398233_1	0	1	0	1
LOC123395555_1	0	0	1	1
LOC123412473_1	0	0	1	1
LOC123400153_1	0	0	0	1
LOC123409012_1	0	0	0	1
LOC123448748_1	0	0	1	1
LOC123395751_1	0	0	0	1
LOC123426864_1	0	1	0	1
LOC123409567_1	0	1	1	1
LOC123440766_1	0	0	0	1
LOC123449567_1	0	0	0	1
LOC123447709_1	1	0	0	0
LOC123427633_1	1	0	1	1
LOC123399246_1	0	0	1	1
LOC123424565_1	0	0	0	1
LOC123440779_1	0	1	1	1
LOC123445474_1	0	0	1	1
LOC123417859_1	1	1	0	1
LOC123447630_1	0	0	0	1
LOC123452129_1	1	0	1	1
LOC123429332_1	0	0	0	0
LOC123440108_1	0	1	0	1
LOC123411092_1	1	1	1	1
LOC123401789_1	0	1	1	1
LOC123446633_1	0	0	0	1
LOC123425940_1	1	0	1	1
LOC123399148_1	0	0	0	1
LOC123434916_1	1	0	1	1
LOC123411863_1	0	1	0	1
LOC123449925_1	0	1	1	1
LOC123449636_1	0	0	0	1
LOC123449217_1	0	0	0	1
LOC123439951_1	0	0	1	1
LOC123442923_1	0	1	0	1
LOC123412738_1	0	0	0	1
LOC123444973_1	0	1	0	1
LOC123411644_1	1	1	0	1
LOC123426531_1	1	1	1	1
LOC123413152_1	0	0	1	1
LOC123444958_1	0	0	0	1
LOC123443266_1	1	1	1	1
LOC123408113_1	0	0	0	1
LOC123411411_1	0	0	1	1
LOC123449372_1	0	1	0	1
LOC123447550_1	0	0	0	1
LOC123411115_1	0	0	0	1
LOC123406245_1	1	0	0	1
LOC123396508_1	1	1	1	1
LOC123442912_1	0	0	1	1
LOC123427351_1	0	0	0	1
LOC123424572_1	1	0	0	1
LOC123407046_1	0	0	0	1
LOC123395721_1	0	1	0	1
LOC123401304_1	0	0	0	1
LOC123440285_1	0	0	1	1
LOC123434820_1	0	0	0	1
LOC123398235_1	0	0	1	1
LOC123444511_1	0	0	1	1
LOC123446932_1	1	0	1	1
LOC123439459_1	0	0	0	1
LOC123429892_1	0	1	0	1
LOC123438045_1	1	1	1	1
LOC123448833_1	0	1	0	1
LOC123445495_1	0	0	0	1
LOC123427000_1	0	0	1	1
LOC123396028_1	0	0	0	1
LOC123398194_1	0	0	0	1
LOC123452103_1	1	0	0	1
LOC123449939_1	0	0	1	1
LOC123425728_1	0	1	0	1
LOC123425460_1	0	0	0	1
LOC123405116_1	0	0	0	1
LOC123436354_1	1	1	0	1
LOC123397498_1	0	0	0	1
LOC123449058_1	1	0	0	1
LOC123441391_1	0	0	1	1
LOC123448453_1	0	0	0	1
LOC123410865_1	0	0	0	1
LOC123407096_1	1	0	0	1
LOC123446860_1	0	0	0	1
LOC123445091_1	1	0	0	1
LOC123397851_1	1	0	1	1
LOC123426916_1	0	0	1	1
LOC123407999_1	0	0	0	1
LOC123402070_1	0	0	0	1
LOC123445715_1	1	0	1	1
LOC123403624_1	0	0	0	1
LOC123402705_1	0	1	0	1
LOC123410571_1	0	0	1	1
LOC123444248_1	0	0	1	1
LOC123452000_1	0	0	0	1
LOC123398207_1	0	0	1	1
LOC123411510_1	0	0	0	1
LOC123430179_1	0	0	1	1
LOC123398078_1	1	0	0	1
LOC123411544_1	0	0	0	1
LOC123409686_1	0	1	0	1
LOC123395160_1	0	1	0	1
LOC123427836_1	0	0	1	1
LOC123401624_1	0	0	0	1
LOC123407739_1	0	0	1	1
LOC123408709_1	0	0	1	1
LOC123431930_1	1	0	0	1
LOC123426549_1	0	1	0	1
LOC123394970_1	0	0	0	1
LOC123407032_1	0	0	0	1
LOC123412186_1	0	0	0	1
LOC123427637_1	1	0	1	1
LOC123435833_1	0	0	1	1
LOC123427516_1	0	0	0	1
LOC123447538_1	1	1	0	1
LOC123441075_1	0	0	1	1
LOC123439329_1	0	1	0	0
LOC123399828_1	0	0	0	1
LOC123429144_1	0	0	0	0
LOC123412026_1	0	1	0	1
LOC123409860_1	0	0	0	1
LOC123410095_1	0	0	0	1
LOC123427385_1	0	0	0	1
LOC123410003_1	0	0	0	1
LOC123399297_1	1	0	0	0
LOC123443022_1	0	1	0	1
LOC123397654_1	0	0	0	1
LOC123443304_1	0	0	1	1
LOC123407815_1	0	0	0	1
LOC123431245_1	0	0	1	1
LOC123453104_1	0	0	0	0
LOC123443115_1	0	0	0	1
LOC123444412_1	0	1	0	1
LOC123430411_1	0	0	1	1
LOC123443010_1	0	0	1	1
LOC123407563_1	0	0	1	1
LOC123425559_1	0	1	0	1
LOC123396644_1	0	0	0	1
LOC123447254_1	0	0	0	1
LOC123450596_1	0	0	0	1
LOC123411313_1	0	0	1	1
LOC123427739_1	1	1	0	1
LOC123448192_1	0	0	0	1
LOC123442961_1	1	0	0	1
LOC123396882_1	0	0	0	1
LOC123407462_1	0	1	0	1
LOC123398322_1	1	1	0	1
LOC123413075_1	0	0	1	1
LOC123429548_1	0	1	0	0
LOC123442992_1	0	0	0	1
LOC123446664_1	0	0	0	1
LOC123450158_1	0	1	0	1
LOC123407259_1	0	0	1	1
LOC123434168_1	0	1	0	1
LOC123427554_1	0	0	0	1
LOC123439258_1	0	1	0	1
LOC123441937_1	0	1	0	1
LOC123398687_1	0	1	0	1
LOC123411658_1	0	1	0	1
LOC123440372_1	0	0	1	1
LOC123448720_1	0	0	1	1
LOC123402318_1	0	0	0	1
LOC123449528_1	1	0	0	0
LOC123401047_1	0	0	1	1
LOC123430677_1	0	1	0	1
LOC123412691_1	0	0	0	1
LOC123426436_1	0	0	0	1
LOC123399064_1	0	0	1	1
LOC123399101_1	0	1	0	1
LOC123411172_1	0	1	0	0
LOC123395301_1	0	0	0	1
LOC123452637_1	0	1	0	1
LOC123429958_1	0	0	1	1
LOC123408724_1	0	0	0	1
LOC123411086_1	0	1	0	1
LOC123448428_1	0	0	0	1
LOC123445736_1	0	1	0	1
LOC123399817_1	0	1	1	1
LOC123447923_1	0	0	1	1
LOC123442668_1	1	0	0	1
LOC123402015_1	0	0	0	1
LOC123399533_1	0	1	0	1
LOC123403455_1	0	0	0	1
LOC123442915_1	0	1	0	1
LOC123404703_1	0	1	0	1
LOC123443695_1	0	0	0	1
LOC123409657_1	0	1	1	1
LOC123445865_1	0	1	0	1
LOC123425489_1	0	1	0	1
LOC123430595_1	1	1	0	1
LOC123394983_1	0	0	0	1
LOC123407689_1	0	0	0	1
LOC123398873_2	0	0	1	1
LOC123425196_1	0	0	0	1
LOC123426717_1	1	0	0	1
LOC123447081_1	1	0	1	1
LOC123451047_1	0	1	0	1
LOC123399925_1	0	0	1	1
LOC123450973_1	0	1	0	1
LOC123408650_1	0	0	1	1
LOC123397188_1	0	0	0	1
LOC123427672_1	0	1	0	1
LOC123443900_1	0	0	1	1
LOC123445675_1	0	1	0	1
LOC123406388_1	0	0	0	1
LOC123443536_1	0	0	0	1
LOC123424571_2	0	1	0	1
LOC123443262_1	0	0	0	1
LOC123452802_1	0	0	1	1
LOC123399793_1	0	0	0	1
LOC123398882_1	0	0	1	1
LOC123419385_1	0	1	0	1
LOC123410075_1	1	1	0	1
LOC123448424_1	0	0	0	1
LOC123448719_1	0	0	0	1
LOC123403792_1	0	1	0	1
LOC123398305_1	0	0	0	0
LOC123447061_1	0	1	0	0
LOC123452095_1	0	0	0	0
LOC123448483_1	0	1	0	1
LOC123398769_1	0	0	1	1
LOC123442508_1	1	0	0	1
LOC123411478_1	0	1	1	1
LOC123440219_1	0	0	1	1
LOC123444954_1	0	0	0	1
LOC123441118_1	0	0	0	1
LOC123402233_1	0	1	0	1
LOC123412871_1	0	1	0	1
LOC123396878_1	0	0	1	1
LOC123444389_1	0	0	0	1
LOC123442732_1	0	0	1	1
LOC123410543_1	0	0	0	0
LOC123445982_1	0	0	0	1
LOC123445175_1	0	0	0	1
LOC123409110_2	0	0	1	1
LOC123447488_1	0	0	0	1
LOC123426621_2	0	0	0	1
LOC123447307_1	0	1	0	1
LOC123452686_1	0	0	0	1
LOC123398920_1	0	0	0	1
LOC123437711_1	0	1	0	1
LOC123424383_1	1	1	0	1
LOC123451875_1	1	0	0	1
LOC123448913_1	0	0	1	1
LOC123427711_1	1	0	0	1
LOC123411244_1	1	0	0	1
LOC123448507_1	0	0	0	1
LOC123444962_1	0	1	0	1
LOC123426528_1	0	0	0	1
LOC123410821_1	0	0	1	1
LOC123445667_1	0	0	1	1
LOC123439077_1	0	1	0	1
LOC123431294_1	0	0	0	1
LOC123427875_2	0	1	0	1
LOC123444032_1	0	0	0	1
LOC123398215_1	0	0	0	1
LOC123412322_1	0	0	1	1
LOC123445640_1	0	0	1	1
LOC123443175_1	0	0	0	1
LOC123451815_1	0	0	1	1
LOC123427247_1	1	0	0	1
LOC123427236_1	0	0	1	1
LOC123412097_2	1	0	0	1
LOC123412234_1	0	0	0	1
LOC123416130_1	0	0	0	1
LOC123398879_1	0	0	0	1
LOC123428064_1	0	1	1	1
LOC123440895_1	0	0	0	1
LOC123397183_2	0	0	1	1
LOC123425047_1	0	0	0	1
LOC123403930_1	1	1	0	1
LOC123401456_1	1	0	0	1
LOC123449586_1	1	0	0	1
LOC123396314_1	0	0	1	1
LOC123410148_1	0	0	0	1
LOC123425166_1	0	0	0	1
LOC123421803_1	0	1	1	1
LOC123449819_1	0	0	1	1
LOC123398444_1	0	1	0	1
LOC123445262_1	1	0	1	1
